,Car_Name,Car_Price,Car_URL
0,"Toyota Camry, 2009 թ.","$10,500",https://list.am/item/12596725
1,Toyota Camry se,"$12,500",https://list.am/item/12840120
2,"Toyota Alphard, 2003 թ.","$9,500",https://list.am/item/12702063
3,"Toyota Isis, 2006 թ.","$5,200",https://list.am/item/12542555
4,"Toyota Camry, 2011 թ.","$9,500",https://list.am/item/12172599
5,"Toyota Camry, 2011 թ.","$9,500",https://list.am/item/13436115
6,"Toyota Alphard, 2004 թ. Japan 124000km poxanakum","$8,400",https://list.am/item/12895058
7,"Toyota Alphard, 2005 թ.","$8,500",https://list.am/item/12972477
8,Toyota Alphard 3l,"$9,500",https://list.am/item/13433380
9,Toyota Alphard 2.4l,"$13,200",https://list.am/item/13433406
10,Toyota Alphatd 2.4l,"$8,500",https://list.am/item/13433426
11,Toyota Camry,"$14,000",https://list.am/item/12409451
12,"Toyota Camry, 2012 թ.","$11,000",https://list.am/item/13315084
13,"Toyota Land Cruiser Prado, 2012 թ., pox. Bnakarani het","$30,500",https://list.am/item/12670187
14,"Toyota Camry, 2011 70mil","$8,500",https://list.am/item/11955692
15,"Toyota Ipsum, 2008 թ.","$7,500",https://list.am/item/11963356
16,"Toyota Camry, 2012 թ.","$11,200",https://list.am/item/13114624
17,"Toyota Ipsum, 2006 թ.","$6,000",https://list.am/item/12935672
18,"Toyota Alphard, 2004 թ. 3L","$7,800",https://list.am/item/12892566
19,"Toyota Estima, 2007 թ.","$6,700",https://list.am/item/12822878
20,"Toyota Alphard, 2006 թ. 4wd","$8,800",https://list.am/item/12943768
21,"Toyota Ipsum, 2005 թ. 4wd","$5,500",https://list.am/item/12598356
22,"Toyota Ipsum, 2005 թ.","$5,800",https://list.am/item/12928848
23,"Toyota Alphard, 2005 թ. 4wd","$8,800",https://list.am/item/12892524
24,"Toyota Alphard, 2003 թ.","$6,500",https://list.am/item/13024689
25,"Toyota Land Cruiser, 2008 թ.","$29,500",https://list.am/item/10674116
26,"Toyota Alphard, 2005 թ.","$9,200",https://list.am/item/11066244
27,"Toyota Camry, 2014 թ.","$15,000",https://list.am/item/11308914
28,Toyota camry se 2009 Erevanum,"$6,300",https://list.am/item/12203952
29,Toyota Camry 2011tiv 2.5litr,"$8,400",https://list.am/item/13325644
30,"Toyota Sienna, 2008 թ.",N/A,https://list.am/item/12852330
31,Toyota Corolla 2017 Europakan,"$15,300",https://list.am/item/13721362
32,Toyota camry restayling 2010,"7,900 ֏",https://list.am/item/9785099
33,"Toyota Land Cruiser, 2013 թ.",N/A,https://list.am/item/13102082
34,Toyota 2005 թ. gtnvume idalakan vijakum poxanakum,"$3,500",https://list.am/item/13356442
35,"Platz, 2001 թ. 1.3 raskulacit amen inc","100,000 ֏",https://list.am/item/11667144
36,"Toyota Vitz, 2001 թ. 1.3 mato gtnvume idalakan vitjakum","130,000 ֏",https://list.am/item/11667464
37,Toyota Camry XLE 2011 t,"$10,000",https://list.am/item/13721360
38,"Toyota Alphard, 2004 թ.","$7,800",https://list.am/item/12518231
39,"Toyota Camry, 2010-11 թ.","$7,500",https://list.am/item/13003327
40,"Toyota Alphard, 2005թ","$7,500",https://list.am/item/11893954
41,Toyota alphard 2005 3.0l,"8,500 ֏",https://list.am/item/12942408
42,Toyota ipsum 2005 t,"$6,000",https://list.am/item/13396436
43,"Toyota Camry, 2008 թ.","$7,200",https://list.am/item/12898922
44,"Toyota Camry, 2008 թ.","$7,200",https://list.am/item/12716548
45,"Toyota Avalon, 2011 թ.","$13,800",https://list.am/item/12415757
46,"Toyota Alphard, 2003 թ.","$6,700",https://list.am/item/12839506
47,"Toyota Voxy, 2008 թ.","$6,700",https://list.am/item/12839477
48,"Toyota Voxy, 2008 թ.","$6,700",https://list.am/item/12743461
49,"Camry 2.5L v40 2011 / 2010, Poxanakum hoxataracqi het","$8,000",https://list.am/item/13304085
50,"Toyota Ipsum, 2004 թ.","$5,700",https://list.am/item/12557115
51,"Toyota Alphard, 2004 թ.","$7,200",https://list.am/item/12472636
52,"Toyota Ipsum, 2004 թ. Gazov 1.8 balon","$6,500",https://list.am/item/13454702
53,"Toyota Alphard, 2006 թ.","$8,000",https://list.am/item/13443547
54,"Toyota Camry, 2011 թ.","$8,300",https://list.am/item/13015940
55,"Toyota Camry, 2014 թ.","$12,000",https://list.am/item/13435968
56,"Toyota Camry, 2010 թ.","$7,000",https://list.am/item/13436225
57,Toyota ipsum 2006,"$5,500",https://list.am/item/12520277
58,"Toyota Camry, 2016 թ.","$12,000",https://list.am/item/13085220
59,"Toyota Camry, 2008 թ.","$7,000",https://list.am/item/13387100
60,"Toyota Camry, 2007 թ.","$6,200",https://list.am/item/13595054
61,"Toyota Camry, 2012 թ.","$9,700",https://list.am/item/13190357
62,"Toyota Ipsum, 2006 թ.","$6,500",https://list.am/item/11553407
63,Ավազե մաքրում (пескоструй) avaze maqrum,"4,567 ֏",https://list.am/item/13082840
64,"Toyota Land Cruiser, 2014 թ.","$42,222",https://list.am/item/12413133
65,"Toyota RAV4, 2006 թ.","$7,500",https://list.am/item/13428575
66,"Toyota Camry, 2007 թ.","$8,000",https://list.am/item/13532675
67,"Toyota Camry, 2013 թ.","$11,500",https://list.am/item/13038888
68,"Toyota RAV4, 2006 թ. 2.4 mator Aj xek","$7,500",https://list.am/item/9314221
69,"Toyota RAV4, 2007 թ. 2.4 mator Aj xek","$9,500",https://list.am/item/9209065
70,"Toyota Mark II, 2002 թ.","$5,000",https://list.am/item/11413684
